Territorialidades;% indivíduos pertencentes ao quinto mais pobre da distribuição dos indivíduos segundo a renda domiciliar per capita 1991;% indivíduos pertencentes ao quinto mais pobre da distribuição dos indivíduos segundo a renda domiciliar per capita 2000;% indivíduos pertencentes ao quinto mais pobre da distribuição dos indivíduos segundo a renda domiciliar per capita 2010;% indivíduos pertencentes aos dois quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 1991;% indivíduos pertencentes aos dois quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 2000;% indivíduos pertencentes aos dois quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 2010;% indivíduos pertencentes aos três quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 1991;% indivíduos pertencentes aos três quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 2000;% indivíduos pertencentes aos três quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 2010;% indivíduos pertencentes aos quatro quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 1991;% indivíduos pertencentes aos quatro quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 2000;% indivíduos pertencentes aos quatro quintos mais pobres da distribuição dos indivíduos segundo a renda domiciliar per capita 2010;% dos ocupados sem rendimento 1991;% dos ocupados sem rendimento 2000;% dos ocupados sem rendimento 2010;% dos ocupados com rendimento de até 1 salário mínimo 1991;% dos ocupados com rendimento de até 1 salário mínimo 2000;% dos ocupados com rendimento de até 1 salário mínimo 2010;% dos ocupados com rendimento de até 2 salários mínimo 1991;% dos ocupados com rendimento de até 2 salários mínimo 2000;% dos ocupados com rendimento de até 2 salários mínimo 2010;% dos ocupados com rendimento de até 3 salários mínimo 1991;% dos ocupados com rendimento de até 3 salários mínimo 2000;% dos ocupados com rendimento de até 3 salários mínimo 2010;% dos ocupados com rendimento de até 5 salários mínimo 1991;% dos ocupados com rendimento de até 5 salários mínimo 2000;% dos ocupados com rendimento de até 5 salários mínimo 2010;Produto Interno Bruto per capita 2013;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Razão 10% mais ricos / 40% mais pobres 2012;Razão 10% mais ricos / 40% mais pobres 2013;Razão 10% mais ricos / 40% mais pobres 2014;Razão 10% mais ricos / 40% mais pobres 2015;Razão 10% mais ricos / 40% mais pobres 2016;Razão 10% mais ricos / 40% mais pobres 2017;Razão 10% mais ricos / 40% mais pobres 2018;Razão 10% mais ricos / 40% mais pobres 2019;Razão 10% mais ricos / 40% mais pobres 2020;Razão 10% mais ricos / 40% mais pobres 2021;Índice de Atkinson - Longevidade 2012;Índice de Atkinson - Longevidade 2013;Índice de Atkinson - Longevidade 2014;Índice de Atkinson - Longevidade 2015;Índice de Atkinson - Longevidade 2016;Índice de Atkinson - Longevidade 2017;Índice de Atkinson - Longevidade 2018;Índice de Atkinson - Longevidade 2019;Índice de Atkinson - Longevidade 2020;Índice de Atkinson - Longevidade 2021;Índice de Atkinson - Educação 2012;Índice de Atkinson - Educação 2013;Índice de Atkinson - Educação 2014;Índice de Atkinson - Educação 2015;Índice de Atkinson - Educação 2016;Índice de Atkinson - Educação 2017;Índice de Atkinson - Educação 2018;Índice de Atkinson - Educação 2019;Índice de Atkinson - Educação 2020;Índice de Atkinson - Educação 2021;Índice de Atkinson - Renda 2012;Índice de Atkinson - Renda 2013;Índice de Atkinson - Renda 2014;Índice de Atkinson - Renda 2015;Índice de Atkinson - Renda 2016;Índice de Atkinson - Renda 2017;Índice de Atkinson - Renda 2018;Índice de Atkinson - Renda 2019;Índice de Atkinson - Renda 2020;Índice de Atkinson - Renda 2021;Renda per capita 1991;Renda per capita 2000;Renda per capita 2010;% da renda proveniente de rendimentos do trabalho 1991;% da renda proveniente de rendimentos do trabalho 2000;% da renda proveniente de rendimentos do trabalho 2010;Renda per capita média do 1º quinto mais pobre 1991;Renda per capita média do 1º quinto mais pobre 2000;Renda per capita média do 1º quinto mais pobre 2010;Renda domiciliar per capita máxima do 1º quinto mais pobre 1991;Renda domiciliar per capita máxima do 1º quinto mais pobre 2000;Renda domiciliar per capita máxima do 1º quinto mais pobre 2010;Renda per capita média do 2º quinto mais pobre 1991;Renda per capita média do 2º quinto mais pobre 2000;Renda per capita média do 2º quinto mais pobre 2010;Renda domiciliar per capita máxima do 2º quinto mais pobre 1991;Renda domiciliar per capita máxima do 2º quinto mais pobre 2000;Renda domiciliar per capita máxima do 2º quinto mais pobre 2010;Renda per capita média do 3º quinto mais pobre 1991;Renda per capita média do 3º quinto mais pobre 2000;Renda per capita média do 3º quinto mais pobre 2010;Renda domiciliar per capita máxima do 3º quinto mais pobre 1991;Renda domiciliar per capita máxima do 3º quinto mais pobre 2000;Renda domiciliar per capita máxima do 3º quinto mais pobre 2010;Renda per capita média do 4º quinto mais pobre 1991;Renda per capita média do 4º quinto mais pobre 2000;Renda per capita média do 4º quinto mais pobre 2010;Renda domiciliar per capita máxima do 4º quinto mais pobre 1991;Renda domiciliar per capita máxima do 4º quinto mais pobre 2000;Renda domiciliar per capita máxima do 4º quinto mais pobre 2010;Renda per capita média do quinto mais rico 1991;Renda per capita média do quinto mais rico 2000;Renda per capita média do quinto mais rico 2010;Renda per capita média do décimo mais rico 1991;Renda per capita média do décimo mais rico 2000;Renda per capita média do décimo mais rico 2010;Renda domiciliar per capita mínima do décimo mais rico 1991;Renda domiciliar per capita mínima do décimo mais rico 2000;Renda domiciliar per capita mínima do décimo mais rico 2010
Brasil;1.92;1.84;2.41;6.72;6.85;8.59;15.7;15.9;19.23;32.79;32.44;36.6;0.0;6.15;5.58;0.0;43.92;21.91;0.0;72.48;69.56;0.0;80.68;81.67;0.0;90.33;90.4;22.2;22.44;21.17;20.19;16.32;15.66;15.04;14.86;16.15;16.43;17.13;16.94;14.81;17.07;0.1;0.097;0.094;0.091;0.089;0.087;0.085;0.083;0.09;0.096;0.2;0.195;0.188;0.184;0.186;0.177;0.169;0.166;0.153;0.154;0.377;0.367;0.36;0.358;0.377;0.384;0.393;0.39;0.365;0.398;447.56;592.46;793.87;84.26;76.55;74.32;43.0;54.4;95.73;72.87;98.26;170.0;107.29;148.65;245.3;146.91;196.19;324.9;201.04;267.9;422.23;268.63;344.3;510.0;382.53;490.14;689.43;548.84;699.5;930.0;1503.94;2001.24;2529.52;2288.95;3077.25;3884.61;943.09;1268.86;1533.5
Água Branca (PB);4;;1.75;11.73;2.82;8.35;22.94;11.61;21.43;40.98;28.94;44.32;;52.85;32.35;;90.06;66.12;;96.52;91.58;;98.03;96.7;;99.4;98.98;4.65;5.09;5.07;4.9;;;;;;;63.19;145.3;233.65;80.77;64.11;52.84;12.64;;20.45;18.8;;33.67;24.44;20.48;77.12;29.15;42.11;116.29;35.4;63.83;152.77;41.13;93.27;190.0;57.0;125.95;267.39;78.35;181.27;340.0;186.46;516.23;663.03;263.1;819.02;976.22;148.08;264.26;525.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aguiar (PB);4.06;2.66;1.72;11.66;9.41;7.14;24.62;22.77;17.0;46.69;47.06;32.42;;21.85;29.79;;89.56;69.62;;98.06;93.41;;99.5;96.56;;100.0;98.77;5.27;5.33;5.16;5.29;;;;;;;88.31;115.43;407.32;76.08;56.43;65.17;17.92;15.35;35.01;26.56;27.89;70.0;33.57;38.99;110.3;46.07;52.46;144.17;57.23;77.09;200.93;72.4;98.26;250.0;97.44;140.18;314.04;130.69;195.21;416.67;235.4;305.57;1377.37;317.76;379.34;2254.83;179.42;292.81;540.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alagoa Grande (PB);3.65;3.16;2.58;10.36;10.28;10.45;20.25;22.36;23.07;35.06;41.04;42.77;;22.12;26.22;;82.31;60.45;;94.71;92.49;;96.85;96.17;;98.67;98.17;5.69;5.8;5.69;5.56;;;;;;;146.0;184.01;287.94;83.01;59.34;54.12;26.68;29.08;37.12;37.61;49.13;78.75;48.96;65.48;113.33;58.76;83.29;144.5;72.21;111.18;181.66;92.45;140.98;218.57;108.11;171.8;283.63;134.68;220.59;367.5;474.03;542.49;822.56;785.42;813.67;1173.41;197.44;317.87;544.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alagoa Nova (PB);3.81;1.97;2.39;11.82;8.07;9.53;23.7;18.51;22.22;42.82;37.41;44.0;;27.49;25.68;;86.85;67.06;;95.39;93.88;;97.03;96.93;;98.32;98.89;9.81;8.61;9.06;8.09;;;;;;;101.82;164.27;272.81;82.58;57.98;56.03;19.4;16.2;32.54;30.77;39.04;63.33;40.79;50.07;97.39;52.65;65.07;127.5;60.48;85.78;173.09;71.46;117.13;221.67;97.35;155.2;297.11;131.28;196.51;380.0;291.08;514.1;765.93;428.11;775.74;1122.66;190.59;294.77;512.86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alagoinha (PB);4.66;3.14;3.13;14.0;10.74;10.99;27.15;23.2;23.2;47.39;42.97;43.74;;28.17;21.59;;85.37;58.25;;95.42;92.77;;97.46;95.95;;99.04;98.93;4.27;4.66;4.62;4.6;;;;;;;85.31;163.13;284.64;75.54;68.19;57.84;19.89;25.6;44.6;31.34;44.9;86.8;39.82;61.96;111.78;47.01;78.08;133.0;56.09;101.63;173.75;66.64;126.33;216.67;86.36;161.3;292.37;110.82;208.22;390.0;224.39;465.15;802.33;319.92;664.88;1147.57;155.13;306.15;517.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcantil (PB);4.69;3.02;2.36;15.03;11.56;10.63;30.83;26.05;25.44;52.7;50.53;50.27;;28.7;19.92;;87.69;65.84;;98.57;94.39;;100.0;98.09;;100.0;99.65;4.82;5.14;4.92;4.72;;;;;;;120.11;136.38;245.01;86.27;50.55;53.32;28.16;20.59;28.89;44.66;44.62;63.0;62.11;58.23;101.34;75.22;73.69;134.33;94.87;98.84;181.47;116.58;130.14;242.0;131.37;166.89;304.1;155.98;225.47;376.67;284.05;337.35;609.76;369.07;420.2;719.46;230.91;294.77;510.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Algodão de Jandaíra (PB);6.05;3.49;2.88;17.72;12.32;11.31;33.47;26.73;25.46;57.69;51.61;50.24;;49.98;37.17;;92.37;65.0;;99.71;96.96;;100.0;98.87;;100.0;99.43;6.33;6.74;6.7;6.18;;;;;;;69.71;119.09;218.7;85.21;55.34;45.5;21.07;20.81;31.54;33.43;41.83;60.0;40.7;52.53;92.1;49.62;69.72;120.67;54.89;85.8;154.76;66.34;117.91;202.5;84.41;148.17;270.99;109.69;195.21;357.5;147.47;288.12;542.33;181.04;342.56;650.59;125.36;269.39;510.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alhandra (PB);4.57;2.59;3.22;13.31;10.95;12.68;26.71;23.48;27.41;46.42;43.43;50.91;;11.06;8.19;;84.93;44.9;;96.23;93.95;;96.89;98.02;;99.08;99.63;26.61;29.52;28.88;29.55;;;;;;;130.29;167.58;236.14;89.46;64.54;65.85;29.79;21.7;38.02;42.98;49.13;78.0;56.94;70.08;111.71;73.57;81.99;141.5;87.27;104.92;173.88;103.07;129.67;214.29;128.43;167.21;277.52;160.62;233.27;352.5;349.04;474.0;579.6;508.14;668.95;713.07;233.17;351.38;510.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amparo (PB);3.04;4.16;2.5;11.92;12.89;10.46;25.81;26.86;23.94;45.81;48.35;47.1;;8.67;42.13;;92.13;76.09;;98.78;97.62;;98.78;98.86;;99.27;99.74;6.21;6.11;6.68;6.55;;;;;;;61.38;147.9;225.5;74.5;59.56;48.97;9.32;30.8;28.21;23.51;48.8;48.0;27.28;64.51;89.77;34.47;80.47;123.6;42.62;103.32;151.89;52.23;122.49;191.67;61.39;158.89;261.24;75.22;210.83;340.0;166.29;381.96;594.07;247.36;516.08;719.65;103.42;294.77;510.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
