Índice de Gini da renda domiciliar per capita segundo Município - Paraíba;;;
Período: 1991, 2000 e 2010;;;
Município;1991;2000;2010
250010 Água Branca;0,5072;0,7137;0,5452
250020 Aguiar;0,4913;0,5032;0,6543
250030 Alagoa Grande;0,521;0,5549;0,5506
250040 Alagoa Nova;0,5063;0,6101;0,5372
250050 Alagoinha;0,4783;0,5335;0,5312
250053 Alcantil;...;0,4653;0,4806
250057 Algodão de Jandaíra;...;0,4509;0,4732
250060 Alhandra;0,4828;0,5423;0,4653
250073 Amparo;...;0,471;0,5035
250077 Aparecida;...;0,6325;0,5148
250080 Araçagi;0,4426;0,5152;0,5333
250090 Arara;0,5605;0,5171;0,5461
250100 Araruna;0,6182;0,5496;0,5302
250110 Areia;0,5789;0,6063;0,5495
250115 Areia de Baraúnas;...;0,4088;0,4622
250120 Areial;0,5639;0,5437;0,4917
250130 Aroeiras;0,5304;0,5299;0,5825
250135 Assunção;...;0,6144;0,5386
250140 Baía da Traição;0,4928;0,591;0,5838
250150 Bananeiras;0,612;0,5984;0,6055
250153 Baraúna;...;0,5594;0,5349
250160 Barra de Santa Rosa;0,4677;0,4864;0,5195
250157 Barra de Santana;...;0,5333;0,4981
250170 Barra de São Miguel;0,4396;0,5627;0,4553
250180 Bayeux;0,4647;0,48;0,4806
250190 Belém;0,4899;0,5588;0,5062
250200 Belém do Brejo do Cruz;0,4716;0,4858;0,4742
250205 Bernardino Batista;...;0,6427;0,5529
250210 Boa Ventura;0,497;0,505;0,4612
250215 Boa Vista;...;0,5274;0,419
250220 Bom Jesus;0,6807;0,5109;0,5054
250230 Bom Sucesso;0,5212;0,5573;0,4556
250240 Bonito de Santa Fé;0,6278;0,5507;0,5271
250250 Boqueirão;0,497;0,4874;0,4611
250270 Borborema;0,5414;0,613;0,5088
250280 Brejo do Cruz;0,4563;0,5411;0,4772
250290 Brejo dos Santos;0,5097;0,5429;0,4735
250300 Caaporã;0,4568;0,5383;0,4895
250310 Cabaceiras;0,5033;0,5049;0,4622
250320 Cabedelo;0,6309;0,6716;0,7047
250330 Cachoeira dos Índios;0,5907;0,5203;0,5077
